PDB rigid_intra_iRMSD rigid_intra_refe_iRMSD rigid_inter_iRMSD(start) rigid_inter_iRMSD(end) intra_iRMSD intra_refe_iRMSD inter_iRMSD(start) inter_iRMSD(end)
1A2K 3.827 0.783 1.066 1.370 1.698 1.238 0.880 1.782
1ACB 2.584 0.267 2.399 2.434 7.859 4.372 2.025 7.963
1AHW 0.652 0.600 0.925 1.055 0.520 0.734 1.131 1.254
1AK4 1.879 0.415 0.920 0.985 1.336 0.814 0.944 1.638
1AKJ 2.329 0.393 1.197 1.197 4.608 3.313 1.134 4.677
1ATN 1.364 0.239 4.768 4.773 1.003 0.687 3.995 4.282
1AVX 1.624 0.734 0.518 0.842 11.305 8.974 0.544 11.364
1AY7 1.456 0.508 0.554 0.763 1.303 0.892 0.594 1.437
1AZS 0.531 1.649 0.811 1.828 0.844 0.920 0.687 1.091
1B6C 1.499 0.634 1.807 1.930 2.671 0.825 1.537 3.382
1BJ1 3.305 0.349 0.581 0.708 1.372 0.688 0.521 1.559
1BKD 15.129 0.351 3.249 3.271 3.226 3.730 2.916 4.567
1BUH 1.398 0.951 0.803 1.314 1.213 0.966 1.013 1.625
1BVK 2.159 0.458 1.458 1.411 1.067 0.753 1.271 1.567
1BVN 0.594 0.489 0.898 1.050 0.998 0.736 0.859 1.261
1CGI 1.286 0.233 2.075 2.100 1.882 0.695 1.964 2.693
1D6R 1.786 0.654 0.914 1.175 1.920 1.493 0.965 2.185
1DFJ 2.269 0.817 1.077 1.358 3.276 2.753 1.022 3.395
1DQJ 6.356 0.867 0.846 1.036 2.678 0.590 0.819 2.800
1E4K 3.408 0.481 3.070 3.156 1.204 0.548 2.566 2.667
1E6E 0.409 0.734 1.098 1.399 0.942 0.638 1.013 1.344
1E6J 1.603 0.728 1.134 1.167 0.762 0.913 1.152 1.218
1E96 1.201 0.614 0.777 0.945 2.068 1.085 0.668 2.114
1EAW 1.624 0.425 0.581 0.703 1.169 0.692 0.586 1.177
1EER 5.993 0.336 2.312 2.286 5.719 6.237 2.803 6.354
1EFN 2.980 0.522 0.873 1.034 0.986 0.563 0.805 1.231
1EWY 0.680 0.928 0.926 1.266 0.514 1.444 0.880 0.947
1EZU 2.446 0.329 1.520 1.573 1.813 2.954 1.276 1.748
1F34 3.116 0.229 1.009 1.013 7.132 6.041 0.939 7.048
1F51 2.432 0.526 0.767 0.880 2.920 1.154 0.780 3.054
1F6M 2.873 0.599 5.919 5.856 3.256 0.992 5.468 6.980
1FAK 6.924 0.420 9.063 9.012 0.402 0.867 8.536 8.785
1FC2 0.976 0.312 1.698 1.730 0.845 0.475 1.836 1.980
1FCC 4.805 0.961 1.082 1.369 3.987 0.646 1.149 4.320
1FFW 2.694 0.392 1.447 1.459 1.963 0.874 1.536 2.622
1FLE 1.512 0.556 1.089 1.284 1.379 1.363 1.593 2.167
1FQ1 1.976 0.469 2.935 2.904 1.446 0.742 2.514 2.433
1FQJ 2.132 0.446 0.768 0.875 0.854 0.768 0.760 1.109
1FSK 1.112 0.612 0.456 0.785 0.873 0.630 0.532 1.040
1GCQ 0.638 0.357 0.616 0.742 0.751 0.709 0.646 0.896
1GHQ 0.899 0.790 0.444 0.967 1.116 0.979 0.506 1.160
1GL1 0.956 1.162 1.289 1.726 1.257 0.497 1.289 1.869
1GLA 0.998 0.884 1.085 1.365 0.658 0.876 0.887 1.035
1GP2 1.877 1.108 2.040 2.111 1.465 0.903 1.700 2.459
1GPW 1.425 0.486 1.049 1.161 2.375 2.523 0.885 2.477
1GRN 2.321 1.262 1.359 1.952 1.500 0.921 1.091 1.894
1GXD 5.646 1.003 2.217 2.552 1.935 2.475 1.990 3.036
1H1V 1.176 0.588 6.963 7.024 5.591 6.253 13.759 14.447
1H9D 0.783 0.296 1.331 1.389 4.092 0.699 1.239 4.307
1HCF 3.622 1.534 1.032 1.877 2.200 4.504 1.040 2.510
1HE1 1.470 0.308 0.975 0.997 2.276 0.599 0.931 2.404
1HE8 1.280 0.731 1.023 1.396 0.604 0.546 0.910 1.079
1HIA 3.504 0.135 1.495 1.495 2.377 0.930 1.553 2.807
1I2M 1.871 0.272 2.027 2.079 2.780 1.697 1.902 3.380
1I4D 9.845 0.445 1.433 1.486 4.159 4.617 1.305 4.352
1I9R 0.703 1.683 1.429 2.150 2.803 1.675 1.587 3.278
1IB1 3.804 1.114 2.373 2.622 9.114 8.136 1.878 9.022
